"week","name","item_id","c4 peak","pop"
60,GarnetRapier,21,"2W",43
60,SpruceRoundShield,22,"3S",43
60,SharkOil,23,"2W",43
60,SilverEarCuffs,24,"3S",43
60,SweetPopoto,25,"3W",43
60,ParsnipSalad,26,"7W",43
60,Caramels,27,"5S",43
60,Ribbon,28,"4W",43
60,Rope,29,"6W",43
60,CavaliersHat,30,"4S",43
60,Horn,31,"4W",43
60,SaltCod,32,"4W",43
60,SquidInk,33,"5S",43
60,EssentialDraught,34,"6S",43
60,Jam,35,"3W",43
60,TomatoRelish,36,"3S",43
60,OnionSoup,37,"4S",43
60,Pie,38,"2S",43
60,CornFlakes,39,"2W",43
60,PickledRadish,40,"5W",43
60,IronAxe,41,"7S",43
60,QuartzRing,42,"5W",43
60,PorcelainVase,43,"2S",43
60,VegetableJuice,44,"5W",43
60,PumpkinPudding,45,"5S",43
60,SheepfluffRug,46,"7W",43
60,GardenScythe,47,"5W",43
60,Bed,48,"2S",43
60,ScaleFingers,49,"3S",43
60,Crook,50,"5S",43
60,Coral Sword,51,"7W",43
60,Coconut Juice,52,"4S",43
60,Honey,53,"7S",43
60,Seashine Opal,54,"3W",43
60,Dried Flowers,55,"2W",43
60,Powdered Paprika,56,"2S",43
60,Cawl Cennin,57,"3S",43
60,Isloaf,58,"4W",43
60,Popoto Salad,59,"6W",43
60,Dressing,60,"5S",43
60,Stove,61,"5W",43
60,Lantern,62,"6S",43
60,Natron,63,"3W",43
60,Bouillabaisse,64,"6S",43
60,Fossil Display,65,"5S",43
60,Bathtub,66,"5W",43
60,Spectacles,67,"2S",43
60,Cooling Glass,68,"3S",43
60,Runner Bean Saute,69,"4W",43
60,Beet Soup,70,"6W",43
60,Imam Bayildi,71,"7S",43
60,Pickled Zucchini,72,"4S",43
60,Serving Dish,73,"2W",43
60,Grinding Wheel,74,"7W",43
60,Tathlums,75,"7S",43
60,Gold Hairpin,76,"4S",43
60,Mammet Award,77,"4W",43
60,Fruit Punch,78,"2W",43
60,Sweet Popoto Pie,79,"2S",43
60,Peperoncino,80,"6W",43
60,Buffalo Bean Salad,81,"7W",43
61,Potion,1,"3W",3
61,Firesand,2,"7S",3
61,WoodenChair,3,"5W",3
61,GrilledClam,4,"3S",3
61,Necklace,5,"5W",3
61,CoralRing,6,"6S",3
61,Barbut,7,"3S",3
61,Macuahuitl,8,"4S",3
61,Sauerkraut,9,"2W",3
61,BakedPumpkin,10,"3W",3
61,Tunic,11,"4W",3
61,CulinaryKnife,12,"7W",3
61,Brush,13,"3S",3
61,BoiledEgg,14,"7S",3
61,Hora,15,"3S",3
61,Earrings,16,"7S",3
61,Butter,17,"5S",3
61,BrickCounter,18,"2W",3
61,BronzeSheep,19,"4S",3
61,GrowthFormula,20,"3W",3
61,GarnetRapier,21,"7W",3
61,SpruceRoundShield,22,"7S",3
61,SharkOil,23,"2S",3
61,SilverEarCuffs,24,"5S",3
61,SweetPopoto,25,"7W",3
61,ParsnipSalad,26,"6W",3
61,Caramels,27,"2W",3
61,Ribbon,28,"4W",3
61,Rope,29,"2W",3
61,CavaliersHat,30,"6W",3
61,Horn,31,"6W",3
61,SaltCod,32,"5W",3
61,SquidInk,33,"2S",3
61,EssentialDraught,34,"5S",3
61,Jam,35,"4S",3
61,TomatoRelish,36,"4W",3
61,OnionSoup,37,"6S",3
61,Pie,38,"7W",3
61,CornFlakes,39,"7S",3
61,PickledRadish,40,"6S",3
61,IronAxe,41,"3W",3
61,QuartzRing,42,"4W",3
61,PorcelainVase,43,"5W",3
61,VegetableJuice,44,"4S",3
61,PumpkinPudding,45,"2S",3
61,SheepfluffRug,46,"7W",3
61,GardenScythe,47,"6S",3
61,Bed,48,"2S",3
61,ScaleFingers,49,"5S",3
61,Crook,50,"6W",3
61,Coral Sword,51,"5S",3
61,Coconut Juice,52,"2S",3
61,Honey,53,"4S",3
61,Seashine Opal,54,"2W",3
61,Dried Flowers,55,"6W",3
61,Powdered Paprika,56,"6S",3
61,Cawl Cennin,57,"7W",3
61,Isloaf,58,"3W",3
61,Popoto Salad,59,"4W",3
61,Dressing,60,"7S",3
61,Stove,61,"5W",3
61,Lantern,62,"3S",3
61,Natron,63,"7S",3
61,Bouillabaisse,64,"6S",3
61,Fossil Display,65,"2W",3
61,Bathtub,66,"2S",3
61,Spectacles,67,"4W",3
61,Cooling Glass,68,"3W",3
61,Runner Bean Saute,69,"5W",3
61,Beet Soup,70,"3S",3
61,Imam Bayildi,71,"7W",3
61,Pickled Zucchini,72,"4S",3
61,Serving Dish,73,"6W",3
61,Grinding Wheel,74,"5S",3
61,Tathlums,75,"7W",3
61,Gold Hairpin,76,"4W",3
61,Mammet Award,77,"3S",3
61,Fruit Punch,78,"4S",3
61,Sweet Popoto Pie,79,"3W",3
61,Peperoncino,80,"5S",3
61,Buffalo Bean Salad,81,"2S",3
62,Potion,1,"2S",42
62,Firesand,2,"7W",42
62,WoodenChair,3,"2W",42
62,GrilledClam,4,"5S",42
62,Necklace,5,"3W",42
62,CoralRing,6,"5S",42
62,Barbut,7,"4W",42
62,Macuahuitl,8,"7W",42
62,Sauerkraut,9,"4W",42
62,BakedPumpkin,10,"6W",42
62,Tunic,11,"6S",42
62,CulinaryKnife,12,"2W",42
62,Brush,13,"4S",42
62,BoiledEgg,14,"2W",42
62,Hora,15,"6W",42
62,Earrings,16,"7W",42
62,Butter,17,"7S",42
62,BrickCounter,18,"4S",42
62,BronzeSheep,19,"4S",42
62,GrowthFormula,20,"3W",42
62,GarnetRapier,21,"7S",42
62,SpruceRoundShield,22,"7S",42
62,SharkOil,23,"4S",42
62,SilverEarCuffs,24,"3W",42
62,SweetPopoto,25,"5W",42
62,ParsnipSalad,26,"3S",42
62,Caramels,27,"5S",42
62,Ribbon,28,"5S",42
62,Rope,29,"6S",42
62,CavaliersHat,30,"2S",42
62,Horn,31,"6W",42
62,SaltCod,32,"3S",42
62,SquidInk,33,"7S",42
62,EssentialDraught,34,"7S",42
62,Jam,35,"4W",42
62,TomatoRelish,36,"6S",42
62,OnionSoup,37,"7W",42
62,Pie,38,"5W",42
62,CornFlakes,39,"5W",42
62,PickledRadish,40,"2S",42
62,IronAxe,41,"2W",42
62,QuartzRing,42,"5W",42
62,PorcelainVase,43,"7W",42
62,VegetableJuice,44,"2S",42
62,PumpkinPudding,45,"4W",42
62,SheepfluffRug,46,"6S",42
62,GardenScythe,47,"3W",42
62,Bed,48,"6W",42
62,ScaleFingers,49,"3S",42
62,Crook,50,"3S",42
62,Coral Sword,51,"4S",42
62,Coconut Juice,52,"6W",42
62,Honey,53,"3W",42
62,Seashine Opal,54,"3S",42
62,Dried Flowers,55,"4W",42
62,Powdered Paprika,56,"6S",42
62,Cawl Cennin,57,"2W",42
62,Isloaf,58,"7S",42
62,Popoto Salad,59,"5W",42
62,Dressing,60,"2S",42
62,Stove,61,"5S",42
62,Lantern,62,"7W",42
62,Natron,63,"3S",42
62,Bouillabaisse,64,"5W",42
62,Fossil Display,65,"4S",42
62,Bathtub,66,"7S",42
62,Spectacles,67,"5S",42
62,Cooling Glass,68,"7W",42
62,Runner Bean Saute,69,"3W",42
62,Beet Soup,70,"6W",42
62,Imam Bayildi,71,"2W",42
62,Pickled Zucchini,72,"4W",42
62,Serving Dish,73,"6S",42
62,Grinding Wheel,74,"2S",42
62,Tathlums,75,"3S",42
62,Gold Hairpin,76,"2S",42
62,Mammet Award,77,"7W",42
62,Fruit Punch,78,"5W",42
62,Sweet Popoto Pie,79,"2W",42
62,Peperoncino,80,"6S",42
62,Buffalo Bean Salad,81,"4W",42
63,Potion,1,"6W",34
63,Firesand,2,"3W",34
63,WoodenChair,3,"2W",34
63,GrilledClam,4,"5W",34
63,Necklace,5,"2S",34
63,CoralRing,6,"7S",34
63,Barbut,7,"2W",34
63,Macuahuitl,8,"6W",34
63,Sauerkraut,9,"5W",34
63,BakedPumpkin,10,"7W",34
63,Tunic,11,"7W",34
63,CulinaryKnife,12,"7W",34
63,Brush,13,"7S",34
63,BoiledEgg,14,"4S",34
63,Hora,15,"6W",34
63,Earrings,16,"2W",34
63,Butter,17,"2S",34
63,BrickCounter,18,"3S",34
63,BronzeSheep,19,"4W",34
63,GrowthFormula,20,"7S",34
63,GarnetRapier,21,"4W",34
63,SpruceRoundShield,22,"4W",34
63,SharkOil,23,"6S",34
63,SilverEarCuffs,24,"7S",34
63,SweetPopoto,25,"6S",34
63,ParsnipSalad,26,"5W",34
63,Caramels,27,"6W",34
63,Ribbon,28,"7S",34
63,Rope,29,"5S",34
63,CavaliersHat,30,"4S",34
63,Horn,31,"6S",34
63,SaltCod,32,"2W",34
63,SquidInk,33,"5S",34
63,EssentialDraught,34,"3W",34
63,Jam,35,"5S",34
63,TomatoRelish,36,"2S",34
63,OnionSoup,37,"7W",34
63,Pie,38,"4W",34
63,CornFlakes,39,"5W",34
63,PickledRadish,40,"4S",34
63,IronAxe,41,"6S",34
63,QuartzRing,42,"7W",34
63,PorcelainVase,43,"3S",34
63,VegetableJuice,44,"3S",34
63,PumpkinPudding,45,"4S",34
63,SheepfluffRug,46,"5S",34
63,GardenScythe,47,"3W",34
63,Bed,48,"3W",34
63,ScaleFingers,49,"2S",34
63,Crook,50,"3S",34
63,Coral Sword,51,"3S",34
63,Coconut Juice,52,"7W",34
63,Honey,53,"4S",34
63,Seashine Opal,54,"2S",34
63,Dried Flowers,55,"4W",34
63,Powdered Paprika,56,"5W",34
63,Cawl Cennin,57,"6S",34
63,Isloaf,58,"6W",34
63,Popoto Salad,59,"5S",34
63,Dressing,60,"3W",34
63,Stove,61,"7S",34
63,Lantern,62,"2W",34
63,Natron,63,"4S",34
63,Bouillabaisse,64,"6W",34
63,Fossil Display,65,"4W",34
63,Bathtub,66,"2S",34
63,Spectacles,67,"5S",34
63,Cooling Glass,68,"2W",34
63,Runner Bean Saute,69,"7S",34
63,Beet Soup,70,"7W",34
63,Imam Bayildi,71,"3S",34
63,Pickled Zucchini,72,"3W",34
63,Serving Dish,73,"6S",34
63,Grinding Wheel,74,"5W",34
63,Tathlums,75,"2S",34
63,Gold Hairpin,76,"6S",34
63,Mammet Award,77,"3W",34
63,Fruit Punch,78,"7S",34
63,Sweet Popoto Pie,79,"3S",34
63,Peperoncino,80,"4S",34
63,Buffalo Bean Salad,81,"5S",34
64,Potion,1,"4W",24
64,Firesand,2,"6W",24
64,WoodenChair,3,"7S",24
64,GrilledClam,4,"6W",24
64,Necklace,5,"2W",24
64,CoralRing,6,"6W",24
64,Barbut,7,"4S",24
64,Macuahuitl,8,"4S",24
64,Sauerkraut,9,"3S",24
64,BakedPumpkin,10,"2S",24
64,Tunic,11,"7W",24
64,CulinaryKnife,12,"3S",24
64,Brush,13,"3S",24
64,BoiledEgg,14,"5S",24
64,Hora,15,"4W",24
64,Earrings,16,"7W",24
64,Butter,17,"2W",24
64,BrickCounter,18,"3W",24
64,BronzeSheep,19,"5W",24
64,GrowthFormula,20,"7W",24
64,GarnetRapier,21,"7S",24
64,SpruceRoundShield,22,"5S",24
64,SharkOil,23,"5W",24
64,SilverEarCuffs,24,"7S",24
64,SweetPopoto,25,"3W",24
64,ParsnipSalad,26,"2S",24
64,Caramels,27,"2S",24
64,Ribbon,28,"6S",24
64,Rope,29,"6W",24
64,CavaliersHat,30,"3S",24
64,Horn,31,"5S",24
64,SaltCod,32,"2W",24
64,SquidInk,33,"5W",24
64,EssentialDraught,34,"5S",24
64,Jam,35,"4W",24
64,TomatoRelish,36,"3W",24
64,OnionSoup,37,"3W",24
64,Pie,38,"6S",24
64,CornFlakes,39,"6S",24
64,PickledRadish,40,"4S",24
64,IronAxe,41,"4W",24
64,QuartzRing,42,"2S",24
64,PorcelainVase,43,"2W",24
64,VegetableJuice,44,"6S",24
64,PumpkinPudding,45,"5W",24
64,SheepfluffRug,46,"7S",24
64,GardenScythe,47,"4S",24
64,Bed,48,"7W",24
64,ScaleFingers,49,"7W",24
64,Crook,50,"7S",24
64,Coral Sword,51,"5S",24
64,Coconut Juice,52,"4W",24
64,Honey,53,"3W",24
64,Seashine Opal,54,"6S",24
64,Dried Flowers,55,"3S",24
64,Powdered Paprika,56,"7W",24
64,Cawl Cennin,57,"2S",24
64,Isloaf,58,"4S",24
64,Popoto Salad,59,"6W",24
64,Dressing,60,"5W",24
64,Stove,61,"7S",24
64,Lantern,62,"2W",24
64,Natron,63,"5S",24
64,Bouillabaisse,64,"7W",24
64,Fossil Display,65,"3W",24
64,Bathtub,66,"2W",24
64,Spectacles,67,"6W",24
64,Cooling Glass,68,"5W",24
64,Runner Bean Saute,69,"4W",24
64,Beet Soup,70,"3S",24
64,Imam Bayildi,71,"4S",24
64,Pickled Zucchini,72,"2S",24
64,Serving Dish,73,"6S",24
64,Grinding Wheel,74,"7S",24
64,Tathlums,75,"2S",24
64,Gold Hairpin,76,"4S",24
64,Mammet Award,77,"7S",24
64,Fruit Punch,78,"3S",24
64,Sweet Popoto Pie,79,"3W",24
64,Peperoncino,80,"2W",24
64,Buffalo Bean Salad,81,"5W",24
65,Potion,1,"6S",65
65,Firesand,2,"5S",65
65,WoodenChair,3,"4W",65
65,GrilledClam,4,"3S",65
65,Necklace,5,"4S",65
65,CoralRing,6,"4S",65
65,Barbut,7,"5W",65
65,Macuahuitl,8,"7S",65
65,Sauerkraut,9,"3S",65
65,BakedPumpkin,10,"5W",65
65,Tunic,11,"2S",65
65,CulinaryKnife,12,"7S",65
65,Brush,13,"6S",65
65,BoiledEgg,14,"2S",65
65,Hora,15,"7W",65
65,Earrings,16,"7S",65
65,Butter,17,"6S",65
65,BrickCounter,18,"3W",65
65,BronzeSheep,19,"6W",65
65,GrowthFormula,20,"2W",65
65,GarnetRapier,21,"3W",65
65,SpruceRoundShield,22,"2S",65
65,SharkOil,23,"7W",65
65,SilverEarCuffs,24,"2W",65
65,SweetPopoto,25,"2W",65
65,ParsnipSalad,26,"4W",65
65,Caramels,27,"4W",65
65,Ribbon,28,"6W",65
65,Rope,29,"5S",65
65,CavaliersHat,30,"5W",65
65,Horn,31,"3S",65
65,SaltCod,32,"5S",65
65,SquidInk,33,"7W",65
65,EssentialDraught,34,"7W",65
65,Jam,35,"4W",65
65,TomatoRelish,36,"6W",65
65,OnionSoup,37,"7W",65
65,Pie,38,"3W",65
65,CornFlakes,39,"3S",65
65,PickledRadish,40,"4S",65
65,IronAxe,41,"6W",65
65,QuartzRing,42,"7S",65
65,PorcelainVase,43,"3W",65
65,VegetableJuice,44,"5W",65
65,PumpkinPudding,45,"2S",65
65,SheepfluffRug,46,"5S",65
65,GardenScythe,47,"2W",65
65,Bed,48,"4S",65
65,ScaleFingers,49,"7S",65
65,Crook,50,"6S",65
65,Coral Sword,51,"7W",65
65,Coconut Juice,52,"5S",65
65,Honey,53,"5W",65
65,Seashine Opal,54,"3S",65
65,Dried Flowers,55,"7S",65
65,Powdered Paprika,56,"3W",65
65,Cawl Cennin,57,"6W",65
65,Isloaf,58,"4S",65
65,Popoto Salad,59,"2S",65
65,Dressing,60,"6S",65
65,Stove,61,"4W",65
65,Lantern,62,"2W",65
65,Natron,63,"2W",65
65,Bouillabaisse,64,"3S",65
65,Fossil Display,65,"3W",65
65,Bathtub,66,"5W",65
65,Spectacles,67,"6S",65
65,Cooling Glass,68,"2S",65
65,Runner Bean Saute,69,"7W",65
65,Beet Soup,70,"4W",65
65,Imam Bayildi,71,"7S",65
65,Pickled Zucchini,72,"5S",65
65,Serving Dish,73,"6W",65
65,Grinding Wheel,74,"4S",65
65,Tathlums,75,"3S",65
65,Gold Hairpin,76,"5S",65
65,Mammet Award,77,"5W",65
65,Fruit Punch,78,"7S",65
65,Sweet Popoto Pie,79,"3W",65
65,Peperoncino,80,"7W",65
65,Buffalo Bean Salad,81,"6S",65
66,Potion,1,"4W",95
66,Firesand,2,"6W",95
66,WoodenChair,3,"2W",95
66,GrilledClam,4,"6W",95
66,Necklace,5,"3W",95
66,CoralRing,6,"7W",95
66,Barbut,7,"5W",95
66,Macuahuitl,8,"3S",95
66,Sauerkraut,9,"6S",95
66,BakedPumpkin,10,"7S",95
66,Tunic,11,"7S",95
66,CulinaryKnife,12,"7W",95
66,Brush,13,"6W",95
66,BoiledEgg,14,"6S",95
66,Hora,15,"2S",95
66,Earrings,16,"3W",95
66,Butter,17,"5S",95
66,BrickCounter,18,"6S",95
66,BronzeSheep,19,"4W",95
66,GrowthFormula,20,"7S",95
66,GarnetRapier,21,"4S",95
66,SpruceRoundShield,22,"5S",95
66,SharkOil,23,"5W",95
66,SilverEarCuffs,24,"4W",95
66,SweetPopoto,25,"5W",95
66,ParsnipSalad,26,"2S",95
66,Caramels,27,"2W",95
66,Ribbon,28,"5W",95
66,Rope,29,"2S",95
66,CavaliersHat,30,"3S",95
66,Horn,31,"7W",95
66,SaltCod,32,"4S",95
66,SquidInk,33,"7W",95
66,EssentialDraught,34,"6W",95
66,Jam,35,"7W",95
66,TomatoRelish,36,"5S",95
66,OnionSoup,37,"2S",95
66,Pie,38,"7S",95
66,CornFlakes,39,"4S",95
66,PickledRadish,40,"3W",95
66,IronAxe,41,"6S",95
66,QuartzRing,42,"2W",95
66,PorcelainVase,43,"4S",95
66,VegetableJuice,44,"5S",95
66,PumpkinPudding,45,"3W",95
66,SheepfluffRug,46,"3S",95
66,GardenScythe,47,"7S",95
66,Bed,48,"3S",95
66,ScaleFingers,49,"2W",95
66,Crook,50,"4W",95
66,Coral Sword,51,"4W",95
66,Coconut Juice,52,"5S",95
66,Honey,53,"6S",95
66,Seashine Opal,54,"2S",95
66,Dried Flowers,55,"7S",95
66,Powdered Paprika,56,"2W",95
66,Cawl Cennin,57,"3S",95
66,Isloaf,58,"5W",95
66,Popoto Salad,59,"6W",95
66,Dressing,60,"7W",95
66,Stove,61,"4S",95
66,Lantern,62,"3W",95
66,Natron,63,"3W",95
66,Bouillabaisse,64,"7W",95
66,Fossil Display,65,"6W",95
66,Bathtub,66,"5S",95
66,Spectacles,67,"7S",95
66,Cooling Glass,68,"2W",95
66,Runner Bean Saute,69,"3S",95
66,Beet Soup,70,"2S",95
66,Imam Bayildi,71,"6S",95
66,Pickled Zucchini,72,"4S",95
66,Serving Dish,73,"5W",95
66,Grinding Wheel,74,"4W",95
66,Tathlums,75,"3W",95
66,Gold Hairpin,76,"7W",95
66,Mammet Award,77,"6W",95
66,Fruit Punch,78,"5W",95
66,Sweet Popoto Pie,79,"6S",95
66,Peperoncino,80,"2W",95
66,Buffalo Bean Salad,81,"5S",95
67,Potion,1,"4S",30
67,Firesand,2,"6W",30
67,WoodenChair,3,"2S",30
67,GrilledClam,4,"2S",30
67,Necklace,5,"6S",30
67,CoralRing,6,"2W",30
67,Barbut,7,"6W",30
67,Macuahuitl,8,"5S",30
67,Sauerkraut,9,"6W",30
67,BakedPumpkin,10,"4S",30
67,Tunic,11,"3S",30
67,CulinaryKnife,12,"6W",30
67,Brush,13,"7S",30
67,BoiledEgg,14,"2S",30
67,Hora,15,"7S",30
67,Earrings,16,"2W",30
67,Butter,17,"3S",30
67,BrickCounter,18,"3W",30
67,BronzeSheep,19,"2W",30
67,GrowthFormula,20,"5W",30
67,GarnetRapier,21,"7W",30
67,SpruceRoundShield,22,"4S",30
67,SharkOil,23,"4W",30
67,SilverEarCuffs,24,"4W",30
67,SweetPopoto,25,"7W",30
67,ParsnipSalad,26,"6S",30
67,Caramels,27,"7W",30
67,Ribbon,28,"7S",30
67,Rope,29,"5W",30
67,CavaliersHat,30,"3W",30
67,Horn,31,"2S",30
67,SaltCod,32,"5W",30
67,SquidInk,33,"3W",30
67,EssentialDraught,34,"5S",30
67,Jam,35,"3W",30
67,TomatoRelish,36,"3S",30
67,OnionSoup,37,"4S",30
67,Pie,38,"5S",30
67,CornFlakes,39,"7S",30
67,PickledRadish,40,"4W",30
67,IronAxe,41,"7W",30
67,QuartzRing,42,"5W",30
67,PorcelainVase,43,"3S",30
67,VegetableJuice,44,"4W",30
67,PumpkinPudding,45,"5S",30
67,SheepfluffRug,46,"2W",30
67,GardenScythe,47,"6S",30
67,Bed,48,"6S",30
67,ScaleFingers,49,"7W",30
67,Crook,50,"7S",30
67,Coral Sword,51,"3W",30
67,Coconut Juice,52,"7W",30
67,Honey,53,"6S",30
67,Seashine Opal,54,"6W",30
67,Dried Flowers,55,"3S",30
67,Powdered Paprika,56,"2W",30
67,Cawl Cennin,57,"4W",30
67,Isloaf,58,"2S",30
67,Popoto Salad,59,"5S",30
67,Dressing,60,"4S",30
67,Stove,61,"7S",30
67,Lantern,62,"5W",30
67,Natron,63,"4W",30
67,Bouillabaisse,64,"5S",30
67,Fossil Display,65,"2S",30
67,Bathtub,66,"7W",30
67,Spectacles,67,"3S",30
67,Cooling Glass,68,"4S",30
67,Runner Bean Saute,69,"6S",30
67,Beet Soup,70,"5W",30
67,Imam Bayildi,71,"2W",30
67,Pickled Zucchini,72,"3W",30
67,Serving Dish,73,"6W",30
67,Grinding Wheel,74,"7S",30
67,Tathlums,75,"6S",30
67,Gold Hairpin,76,"4W",30
67,Mammet Award,77,"5S",30
67,Fruit Punch,78,"2W",30
67,Sweet Popoto Pie,79,"3W",30
67,Peperoncino,80,"3S",30
67,Buffalo Bean Salad,81,"7S",30
68,Potion,1,"3S",47
68,Firesand,2,"3W",47
68,WoodenChair,3,"6S",47
68,GrilledClam,4,"7W",47
68,Necklace,5,"7W",47
68,CoralRing,6,"2W",47
68,Barbut,7,"2W",47
68,Macuahuitl,8,"6W",47
68,Sauerkraut,9,"6S",47
68,BakedPumpkin,10,"4W",47
68,Tunic,11,"7S",47
68,CulinaryKnife,12,"5W",47
68,Brush,13,"3S",47
68,BoiledEgg,14,"2W",47
68,Hora,15,"2S",47
68,Earrings,16,"6W",47
68,Butter,17,"5W",47
68,BrickCounter,18,"7S",47
68,BronzeSheep,19,"5W",47
68,GrowthFormula,20,"4S",47
68,GarnetRapier,21,"7W",47
68,SpruceRoundShield,22,"6W",47
68,SharkOil,23,"4S",47
68,SilverEarCuffs,24,"5S",47
68,SweetPopoto,25,"3W",47
68,ParsnipSalad,26,"6W",47
68,Caramels,27,"6S",47
68,Ribbon,28,"3S",47
68,Rope,29,"2S",47
68,CavaliersHat,30,"5S",47
68,Horn,31,"7S",47
68,SaltCod,32,"4W",47
68,SquidInk,33,"3S",47
68,EssentialDraught,34,"6S",47
68,Jam,35,"2S",47
68,TomatoRelish,36,"3W",47
68,OnionSoup,37,"5W",47
68,Pie,38,"2S",47
68,CornFlakes,39,"4S",47
68,PickledRadish,40,"2W",47
68,IronAxe,41,"3W",47
68,QuartzRing,42,"4W",47
68,PorcelainVase,43,"5S",47
68,VegetableJuice,44,"5S",47
68,PumpkinPudding,45,"7S",47
68,SheepfluffRug,46,"7S",47
68,GardenScythe,47,"4S",47
68,Bed,48,"4W",47
68,ScaleFingers,49,"7W",47
68,Crook,50,"7W",47
68,Coral Sword,51,"2S",47
68,Coconut Juice,52,"3W",47
68,Honey,53,"3S",47
68,Seashine Opal,54,"7W",47
68,Dried Flowers,55,"5S",47
68,Powdered Paprika,56,"6W",47
68,Cawl Cennin,57,"4W",47
68,Isloaf,58,"4S",47
68,Popoto Salad,59,"2W",47
68,Dressing,60,"5W",47
68,Stove,61,"7S",47
68,Lantern,62,"6S",47
68,Natron,63,"2S",47
68,Bouillabaisse,64,"3S",47
68,Fossil Display,65,"6S",47
68,Bathtub,66,"4S",47
68,Spectacles,67,"4W",47
68,Cooling Glass,68,"5S",47
68,Runner Bean Saute,69,"5W",47
68,Beet Soup,70,"2W",47
68,Imam Bayildi,71,"7S",47
68,Pickled Zucchini,72,"7W",47
68,Serving Dish,73,"6W",47
68,Grinding Wheel,74,"3W",47
68,Tathlums,75,"7S",47
68,Gold Hairpin,76,"2W",47
68,Mammet Award,77,"7W",47
68,Fruit Punch,78,"5W",47
68,Sweet Popoto Pie,79,"3S",47
68,Peperoncino,80,"2S",47
68,Buffalo Bean Salad,81,"6S",47
69,Potion,1,"7S",54
69,Firesand,2,"6W",54
69,WoodenChair,3,"5W",54
69,GrilledClam,4,"5W",54
69,Necklace,5,"7W",54
69,CoralRing,6,"5S",54
69,Barbut,7,"5S",54
69,Macuahuitl,8,"3W",54
69,Sauerkraut,9,"4S",54
69,BakedPumpkin,10,"7S",54
69,Tunic,11,"5W",54
69,CulinaryKnife,12,"3W",54
69,Brush,13,"4S",54
